date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:34	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2001%20Jan%202021%2023:00:02%20GMT	https://atsengg.com/robots.txt		(from )
14:10:38	272641/272641	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2009:10:35%20GMT	https://atsengg.com/	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/index.html	(from )
14:10:39	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2024%20Jan%202025%2009:10:38%20GMT	https://atsengg.com/xmlrpc.php	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/xmlrpc.php	(from https://atsengg.com/)
14:10:39	6302/6302	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202023%2005:19:49%20GMT	http://atsengg.com/wp-content/uploads/2023/05/ATS_Favicon.png	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/wp-content/uploads/2023/05/ATS_Favicon.png	(from https://atsengg.com/)
14:10:40	862/862	---M--	200	added ('OK')	application/rss+xml	etag:%2251a93db02a481196b1467e4b9eed2758%22	https://atsengg.com/feed/	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/feed/index.html	(from https://atsengg.com/)
14:10:41	756/756	---M--	200	added ('OK')	application/rss+xml	etag:%2251a93db02a481196b1467e4b9eed2758%22	https://atsengg.com/comments/feed/	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/comments/feed/index.html	(from https://atsengg.com/)
14:10:47	173791/173791	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jun%202024%2006:14:42%20GMT	https://atsengg.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1719296082	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/wp-content/uploads/elementor/css/custom-frontend.min7c98.css	(from https://atsengg.com/)
14:10:48	126201/126201	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202023%2005:02:27%20GMT	https://atsengg.com/wp-content/uploads/2023/05/Logo_ATS-.png	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/wp-content/uploads/2023/05/Logo_ATS-.png	(from https://atsengg.com/)
14:10:48	3829/3829	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202024%2003:43:08%20GMT	https://atsengg.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9.23	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mindc35.css	(from https://atsengg.com/)
14:10:48	67414/67414	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202024%2004:23:13%20GMT	https://atsengg.com/wp-content/uploads/essential-addons-elementor/eael-7230.css?ver=1736763614	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/wp-content/uploads/essential-addons-elementor/eael-7230bdf7.css	(from https://atsengg.com/)
14:10:49	6951/6951	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202024%2003:42:55%20GMT	https://atsengg.com/wp-content/plugins/awesome-support/assets/admin/css/vendor/magnific-popup.css?ver=6.2.1	D:/Office/Clones/ats/ATS%20Clone/atsengg.com/wp-content/plugins/awesome-support/assets/admin/css/vendor/magnific-popupf731.css	(from https://atsengg.com/)
